city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Kochi,India,LMC,602046,72000,NA,NA,40.3,38,NA,NA,NA,NA,21.6,NA,0.1,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,20.4,NA,NA,NA,NA
Leh,India,LMC,17353,12045,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pune,India,LMC,3124458,620500,NA,10.48,16.84,NA,NA,NA,50,10.89,11.17,NA,0.62,NA,33,5,3,47,6,5,1,NA,NA,20,NA,11007260,NA,NA
Patna,India,LMC,1684222,338106.8,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA
Jodhpur,India,LMC,1033756,124538,NA,NA,24.7,NA,NA,NA,54,NA,NA,NA,21.3,NA,13.22,0.54,2.49,20.54,9,15.34,1.93,5.17,31.74,15,NA,NA,NA,NA
Nagpur,India,LMC,2405665,383250,NA,NA,15,NA,NA,NA,81,NA,NA,NA,NA,NA,77,NA,NA,2,9,12,NA,NA,NA,20,NA,NA,NA,NA
Shimla,India,LMC,169578,34039.9,NA,NA,NA,NA,NA,NA,NA,16,15,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
Rudrapur,India,LMC,154554,23725,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
Bengaluru,India,LMC,8443675,1277500,NA,0.57,14.28,NA,NA,NA,70,NA,NA,NA,15.15,NA,53,3,1,12,13,12,NA,NA,6,26,NA,NA,NA,NA
Pimpri-Chinchwad,India,LMC,1727692,271925,NA,NA,60.9,NA,NA,NA,NA,0.2,18.8,20,0.1,NA,47.89,3.61,0.01,12,3.9,13.67,3.91,14.66,NA,10,NA,NA,NA,NA
Kanpur,India,LMC,2767031,547500,NA,NA,46.66,NA,35,NA,NA,NA,8,NA,10.34,NA,51.97,0.24,0.41,40,3.38,2.25,1.6,NA,NA,13,NA,NA,NA,NA
Rajkot,India,LMC,1432734,193450,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,31.64,0.11,0.8,63.38,0.84,2.11,1.12,NA,NA,16,NA,14560,NA,NA
Tenali,India,LMC,164937,34675,NA,2.1,1.05,NA,NA,NA,90,NA,3.7,NA,3.15,NA,48,3,NA,15,11,NA,13,4,6,7,NA,NA,NA,NA
Lucknow,India,LMC,2817106,505525,NA,NA,23,NA,NA,NA,60,15,NA,NA,2,NA,47,NA,NA,36,17,NA,NA,NA,NA,25,NA,NA,NA,NA
Ludhiana,India,LMC,1840000,401500,NA,NA,NA,NA,NA,NA,45,55,NA,NA,NA,NA,34,10,NA,35,4.7,16,NA,NA,NA,10,NA,730000,NA,NA
Tadipatri,India,LMC,108249,14600,NA,NA,70,NA,NA,NA,30,NA,NA,NA,NA,NA,62.5,NA,NA,25,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA
Bhopal,India,LMC,1798218,292000,NA,0.75,21.1,NA,NA,NA,NA,NA,NA,NA,78.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,4721640,NA,NA
Faridabad,India,LMC,1414050,242360,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,42.4,NA,42,0.85,0.26,33.65,7.16,16.08,NA,NA,NA,25,NA,NA,NA,NA
Cuttack,India,LMC,610189,66816,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmedabad,India,LMC,6494197,1204500,NA,NA,36.4,NA,NA,NA,NA,NA,15,49,NA,NA,28,1,NA,32,4,10,9,1,15,NA,NA,NA,NA,NA
Itanagar,India,LMC,59500,29200,NA,NA,62.5,NA,NA,NA,12,NA,NA,NA,25.5,NA,53,NA,3,24,7,7,6,NA,NA,4,NA,NA,NA,NA
Vishakhapatnam,India,LMC,1728128,354050,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,3,NA,52,NA,NA,25,23,NA,NA,NA,NA,25,NA,NA,NA,NA
Nashik,India,LMC,1486053,148569.6,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA
Dhanbad,India,LMC,1162472,197976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,India,LMC,11034555,3062350,NA,NA,7.8,NA,31.9,NA,13.3,8.3,15,NA,23.8,NA,70.3,NA,NA,9.4,20.26,NA,NA,NA,NA,19.3,NA,NA,NA,NA
Srinagar,India,LMC,1147613,106390.2,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Ghaziabad,India,LMC,1648643,271925,NA,NA,40,NA,NA,NA,60,NA,NA,NA,NA,NA,55.94,1.39,0.64,18.94,9.71,9.12,0.98,3.28,NA,NA,NA,NA,NA,NA
Imphal,India,LMC,268243,29200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2,1,15,10,5,2,5,NA,10,NA,NA,NA,NA
Surat,India,LMC,5500000,620500,NA,NA,23.5,NA,NA,NA,76,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
Vijaywada,India,LMC,1137793,207320,NA,3.5,22,NA,NA,NA,74,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
Chennai,India,LMC,6671309,1825000,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0.03,37.65,6.45,7.04,1.45,6.99,32.25,15,NA,NA,NA,NA
Indore,India,LMC,1994397,328500,NA,NA,50,NA,NA,NA,25,25,NA,NA,NA,NA,59,0.5,0.5,27,2,3.5,3.5,NA,4,7,NA,NA,NA,NA
Coimbatore,India,LMC,1050721,324850,NA,0.1,53.4,NA,NA,NA,NA,NA,20,24,0.02,NA,76.95,NA,NA,17.5,5.55,NA,NA,NA,NA,12,NA,NA,NA,NA
Navi Mumbai,India,LMC,1120574,237250,NA,NA,82,18,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,20.6,21.4,NA,NA,NA,5,5,NA,NA,NA,NA
Greater Mumbai,India,LMC,12478447,2497804.5,NA,NA,NA,NA,NA,NA,54,45.53,NA,NA,0.47,NA,37,NA,NA,48,15,NA,NA,NA,NA,5,NA,NA,NA,NA
Guwahati,India,LMC,957352,223015,NA,NA,8.2,NA,NA,NA,75,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
