city,country,income_id,pop,msw_generation_tons_year,waste_treatment_advanced_thermal_treatment_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km,transportation_distance_km,transportation_distance_km_year,transportation_distance_na,transportation_distance_total_km_day
Antananarivo,Madagascar,LIC,2610000,401500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,0.1,54.07,8.2,11.1,NA,2.1,0.2,10,NA,NA,NA,NA
Male,Maldives,UMC,153904,87143.57,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,48.76,3,3,16.25,12,10,NA,2.75,4.24,5,NA,NA,NA,NA
Addu,Maldives,UMC,21275,7612,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,40,3,4,11,7,5,NA,NA,30,7,NA,NA,NA,NA
Fuahmulah,Maldives,UMC,8510,2510.47,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,19.57,2.84,2.13,13.65,4.2,6.93,NA,1,49.68,3,NA,NA,NA,NA
MÃ©xico City,Mexico,UMC,8851080,4705945,NA,NA,10.6,66.7,NA,NA,NA,4.2,14.19,1.56,2.75,NA,49.5,2.65,1.45,22.87,9.92,13.16,NA,0.45,NA,NA,NA,NA,NA,NA
Guadalajara,Mexico,UMC,1460148,648812,NA,NA,NA,NA,NA,NA,NA,NA,8,92,NA,NA,33.68,4.03,0.77,22.41,20.15,18.96,NA,NA,NA,NA,NA,NA,NA,NA
Monterrey,Mexico,UMC,1109171,430158,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,31.24,3.22,1.8,39.87,7.06,16.18,0.01,0.06,0.54,21,NA,NA,NA,NA
Majuro,Marshall Islands,UMC,40108,8614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,3.2,11,12.2,11.1,12.5,7.3,NA,NA,NA,NA,NA,NA,NA
Kratovo,"Macedonia, FYR",UMC,9536,1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1.8,0.1,2,3.1,4.6,NA,NA,80.8,NA,NA,13687.5,NA,NA
Skopje,"Macedonia, FYR",UMC,503000,182489,NA,NA,NA,95,NA,NA,2,NA,3,NA,NA,NA,15.2,5.5,1.2,48.4,15.3,12.4,NA,NA,2,NA,NA,NA,NA,NA
Bamako,Mali,LIC,1933000,330000,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,36.2,12,14,23,12.8,16,NA,NA,NA,NA,NA,NA,NA,NA
Sikasso,Mali,LIC,225000,46770,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,Myanmar,LMC,1000000,343100,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,65,2,1,11,6,15,NA,NA,NA,17.5,NA,NA,NA,NA
Yangon,Myanmar,LMC,4802000,723065,NA,NA,NA,NA,NA,NA,87.66,NA,4.33,NA,7.67,NA,69,1,1,10,3,8,NA,NA,8,17.5,NA,NA,NA,NA
Podgorica,Montenegro,UMC,190392,87808,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.79,30.21,NA,37,11.5,2.6,17.54,13,15.61,NA,2.75,NA,NA,NA,NA,NA,NA
Kotor,Montenegro,UMC,22515,10121,NA,NA,NA,59.98,NA,NA,NA,NA,NA,NA,40.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ulaanbaatar,Mongolia,LMC,1377000,1100000,NA,NA,NA,NA,NA,NA,88.85,NA,3.2,NA,7.95,NA,29.5,4.5,3.5,27,17.5,18,NA,NA,NA,15,NA,NA,NA,NA
Saipan,Northern Mariana Islands,HIC,49000,32371.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maputo,Mozambique,LIC,1100000,401500,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA,68,2,4,4,12,10,NA,NA,NA,10,NA,NA,NA,NA
Nouakchott,Mauritania,LMC,968000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,59,7,21,NA,NA,NA,25,NA,NA,NA,NA
Blantyre,Malawi,LIC,701000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lilongwe,Malawi,LIC,731000,95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuala Lumpur,Malaysia,UMC,6837000,1600000,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,89.6,NA,42.02,1.84,5.3,2.53,12.9,24.74,2.45,5.74,2.48,NA,NA,NA,NA,NA
Windhoek,Namibia,UMC,227000,57998.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,13,5,10,20,16,NA,NA,NA,NA,NA,NA,NA,NA
Niamey,Niger,LIC,816000,146000,NA,NA,NA,NA,NA,NA,37.4,52.5,NA,NA,10.1,NA,38,NA,1,57,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Ilorin,Nigeria,LMC,857000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,32,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagos,Nigeria,LMC,9000000,1642500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,5,5,12,10,15,NA,NA,NA,NA,NA,NA,NA,NA
Kano,Nigeria,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,2,5,29,17,4,NA,NA,NA,NA,NA,NA,NA,NA
Oyo,Nigeria,LMC,322000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,3.1,2.8,4.2,14.4,18.8,NA,NA,NA,NA,NA,NA,NA,NA
Ibadan,Nigeria,LMC,3160000,635000,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,56,NA,42,4,5,27,10,9,NA,3,NA,NA,NA,NA,NA,NA
Puerto Cabezas,Nicaragua,LMC,66169,14198.5,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,77,3.07,2.03,8.54,2.6,6.66,NA,NA,NA,13,NA,NA,NA,NA
Managua,Nicaragua,LMC,1002882,468660,NA,NA,NA,NA,NA,87.61,NA,NA,8.95,NA,3.44,NA,71.72,1.42,1.28,8.64,8.57,8.37,NA,NA,NA,NA,NA,NA,NA,NA
Amsterdam,Netherlands,HIC,799345,324302,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,86,NA,21.5,8.6,2.9,39.2,18,6.4,NA,NA,3.4,NA,NA,2500000,NA,NA
Eindhoven,Netherlands,HIC,226879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,3,3,17,19,14,NA,2,6,NA,NA,NA,NA,NA
Bergen,Norway,HIC,271949,70528,NA,NA,NA,NA,39.1,14.5,NA,NA,46.4,NA,NA,NA,20,4,5,28,18,8,NA,14,3,NA,NA,NA,NA,NA
Oslo,Norway,HIC,986000,360876,NA,NA,NA,NA,57.85,NA,NA,1.547,37.197,3.4,0.006,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Butwal,Nepal,LIC,120982,9902.449999999999,NA,NA,NA,NA,NA,NA,NA,62.7,NA,NA,37.3,NA,61.13,3.71,1.56,7.85,11.38,13.46,0.91,NA,NA,NA,NA,NA,NA,NA
Pokhara,Nepal,LIC,264991,42745.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,57.3,NA,56.34,4.82,4.18,4.88,17.97,9.92,1.88,NA,NA,NA,NA,NA,NA,NA
Dhankuta,Nepal,LIC,28364,2701,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,18.9,NA,48.66,0,2.37,13.84,17.12,17.85,0.16,NA,NA,NA,NA,NA,NA,NA
Birgunj,Nepal,LIC,139068,13932.05,NA,NA,NA,NA,NA,NA,19.65,19.65,NA,NA,60.7,NA,55.08,9.72,1.23,8.58,10.91,14.46,0,NA,NA,NA,NA,NA,NA,NA
Kathmandu,Nepal,LIC,1003285,170141.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,13.1,NA,53.24,3.21,2.09,3.38,17.31,20.14,0.63,NA,NA,26,NA,NA,NA,NA
Lalitpur,Nepal,LIC,226728,30769.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,28.8,NA,57.07,1.44,0.53,6.55,18.38,15.56,0.46,NA,NA,43,NA,NA,NA,NA
Badimalika,Nepal,LIC,18207,872.3499999999999,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,51.06,10.57,0.24,18.17,12.97,6.87,0.11,NA,NA,0.5,NA,NA,NA,NA
Bharatpur,Nepal,LIC,147777,21578.799999999996,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,74.6,NA,74.23,3.59,1.58,2.81,11.36,5.61,0.82,NA,NA,NA,NA,NA,NA,NA
Dharan,Nepal,LIC,119915,18585.8,NA,NA,NA,NA,NA,NA,NA,68.7,NA,NA,31.3,NA,50.49,3.7,6.33,9.75,12.95,16.19,0.59,NA,NA,NA,NA,NA,NA,NA
Bhimeshwor,Nepal,LIC,23337,1036.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.68,0.52,0.01,26.23,11.17,8.17,2.22,NA,NA,NA,NA,NA,NA,NA
Biratnagar,Nepal,LIC,204949,21305.05,NA,NA,NA,NA,NA,NA,85.7,NA,NA,NA,14.3,NA,71.07,0.52,0.21,1.86,13.18,11.99,1.17,NA,NA,NA,NA,NA,NA,NA
Bhaktapur,Nepal,LIC,83658,10548.5,NA,NA,NA,NA,NA,NA,86.5,NA,NA,NA,13.5,NA,62.68,1.17,2.73,8.66,11.35,13.24,0.18,NA,NA,NA,NA,NA,NA,NA
Auckland,New Zealand,HIC,1414700,226352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,55.5,1.8,2.7,17.4,10.5,11.2,0.1,0.8,NA,NA,NA,NA,NA,NA
Wellington,New Zealand,HIC,383000,302500,NA,NA,1,NA,NA,88,NA,NA,10,NA,1,NA,19,1.5,1.3,12.2,28,38,NA,NA,NA,NA,NA,NA,X,NA
Muscat,Oman,HIC,838000,219000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karachi,Pakistan,LMC,14910352,2719250,NA,NA,NA,60,NA,NA,NA,40,NA,NA,NA,NA,21,1.5,0.75,48,4.1,6.4,2.3,2.25,14,32.5,NA,NA,NA,NA
Lahore,Pakistan,LMC,11126285,2436656.4149999996,NA,NA,NA,61.53,6.15,NA,NA,NA,NA,32.31,0.01,NA,65,0.696,0.07,21.824,2.5,0.61,9.53,NA,NA,19,NA,41812420,NA,NA
Sialkot,Pakistan,LMC,809000,125000,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,75,NA,39.7,7.8,3.4,16.3,12.9,12.8,3.1,4,NA,NA,NA,NA,NA,NA
PanamÃ¡ City,Panama,HIC,1382667,494579.98000000004,NA,NA,NA,NA,NA,NA,NA,NA,2,65,33,NA,45,8,5,4,26,12,NA,NA,NA,NA,NA,NA,NA,NA
San Miguelito,Panama,HIC,560285,199436,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ColÃ³n,Panama,HIC,250802,59860,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cusco,Peru,UMC,111340,48563,NA,NA,NA,NA,NA,NA,69.6,NA,0.3,NA,NA,30.1,47.9,2.44,3.45,17.07,9.44,11.63,0.54,0.19,7.34,7.5,NA,NA,NA,NA
Cebu,Philippines,LMC,923000,229950,NA,NA,NA,NA,NA,NA,60,NA,NA,40,NA,NA,67,1,1,12,4,15,NA,NA,NA,10,NA,NA,NA,NA
Quezon City,Philippines,LMC,2940000,944328,NA,NA,NA,61,NA,NA,NA,NA,42,NA,NA,NA,53.95,1.15,0.86,25.76,8.65,9.64,NA,NA,NA,NA,NA,NA,NA,NA
Koror,Palau,HIC,11754,1369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,13,7,22,48,NA,NA,1,NA,NA,NA,NA,NA
Port Moresby,Papua New Guinea,LMC,345000,107310,NA,NA,NA,61.56,NA,NA,NA,36.73,1.7,NA,0.01,NA,29.6,7.1,9.4,12.5,11.5,18.5,11.4,NA,NA,NA,NA,NA,NA,NA
Lodzi,Poland,HIC,728900,157070.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KrakÃ³w,Poland,HIC,741208,320500,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,80.34,NA,29.22,8.53,2.25,24.93,20.48,14.59,NA,NA,NA,NA,NA,NA,NA,NA
Lisbon,Portugal,HIC,511667,291703.71,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,78.2,NA,41,5,1.5,24,15,13,NA,0.5,NA,NA,NA,NA,NA,100
GuimarÃ£es,Portugal,HIC,158100,56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.42,5.19,2,25.26,11.08,12.33,NA,0.41,NA,NA,NA,NA,NA,NA
AsunciÃ³n,Paraguay,UMC,525293,282613,NA,NA,NA,NA,NA,NA,92.2,NA,NA,NA,7.8,NA,37.4,3.5,1.3,23.6,10.2,4.2,0.6,NA,19.2,NA,NA,NA,NA,NA
Ciudad Del Este,Paraguay,UMC,337608,157731.1,NA,NA,NA,48.8,NA,NA,NA,NA,NA,NA,51.2,NA,57.1,1.8,1.6,1.5,11.5,10.3,0.3,NA,16,NA,NA,NA,NA,NA
San Lorenzo,Paraguay,UMC,283939,105711,NA,NA,NA,NA,NA,NA,58.2,NA,NA,NA,41.8,NA,20,4,2,52,6,12,1,NA,3,NA,NA,NA,NA,NA
Ramallah,West Bank and Gaza,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doha,Qatar,HIC,718000,359035.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluj-Napoca,Romania,UMC,327000,112194,NA,NA,NA,NA,NA,NA,NA,NA,13.72,NA,NA,NA,50.5,4.5,2.5,20,11,9,NA,2.5,NA,8.5,NA,NA,NA,NA
Bucharest,Romania,UMC,1868000,632866.62,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA,64.52,7.1,3.03,NA,13.58,9.42,NA,2.35,NA,17,NA,NA,NA,NA
Moscow,Russian Federation,UMC,11461000,5500000,NA,NA,NA,NA,NA,NA,90,6,4,NA,NA,NA,22,16,2,24,17,13,1,5,NA,34,NA,NA,NA,NA
St.petersburg,Russian Federation,UMC,4993000,2300000,NA,NA,NA,NA,NA,80,NA,3,10,NA,7,NA,23.1,6.3,3.5,21.6,29.7,5.8,3.5,6.5,NA,NA,NA,NA,NA,NA
Kemerovo,Russian Federation,UMC,533000,189254,NA,NA,NA,NA,NA,NA,98.1,NA,1.9,NA,NA,NA,17,3,7,15,45,13,NA,NA,NA,NA,NA,NA,NA,NA
KigaliÂ ,Rwanda,LIC,1257000,871729.5,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,75,NA,66.86,1.36,1.93,2,16.13,1.5,0.36,2.9,6.93,NA,NA,NA,NA,NA
Nyagatare,Rwanda,LIC,465855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Jeddah,Saudi Arabia,HIC,4076000,2200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,3,2,5,14,16,4,6,5,40,NA,NA,NA,NA
Riyadh,Saudi Arabia,HIC,6370000,4380000,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,15,NA,55.9,3.2,2.4,13,12.2,13.3,NA,NA,NA,NA,NA,NA,NA,NA
Rufisque,Senegal,LIC,300000,76650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honiara,Solomon Islands,LMC,78000,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1.1,9.2,7.2,6.6,19.5,3.4,NA,NA,6,NA,NA,NA,NA
Freetown,Sierra Leone,LIC,800000,163520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,59.2,1.2,6.2,21.8,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA
San Salvador,El Salvador,LMC,1097000,293747,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4,34.6,NA,58,2,2,8,19,11,NA,NA,NA,29,NA,NA,NA,NA
Hargeysa,Somalia,LIC,607000,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,5.2,2.5,35.2,19.9,16,NA,NA,NA,NA,NA,NA,NA,NA
Belgrade,Serbia,UMC,1392691,781692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.93,6.84,2.38,14.96,22.69,14.92,0.61,NA,6.68,NA,NA,NA,NA,NA
Novi Sad,Serbia,UMC,314192,120773,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,98,NA,40.73,11.19,1.41,9.11,16.26,12.08,0.03,NA,9.17,NA,NA,NA,NA,NA
Juba,South Sudan,LIC,321000,130053.15000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,7,25,12,20,NA,NA,NA,13,NA,NA,NA,NA
Trnava,Slovak Republic,HIC,65536,60816,NA,NA,NA,82.42,0.34,NA,0.56,6.9,9.79,NA,NA,NA,42.35,32.58,NA,14.7,4.36,5.78,0.24,NA,NA,NA,NA,NA,NA,NA
Bratislava,Slovak Republic,HIC,415589,140594,NA,NA,NA,32.01,41.02,NA,0.43,16.73,9.81,NA,NA,NA,50.17,15,1,NA,27,9,NA,NA,NA,NA,NA,NA,NA,NA
Ljubljana,Slovenia,HIC,309261,98410,NA,NA,NA,NA,NA,39,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BorÃ¥s,Sweden,HIC,106000,25500,NA,NA,NA,1,55,NA,NA,15.5,29,NA,NA,NA,11,4,4.2,48.2,10,0.7,NA,10,5,NA,NA,NA,NA,NA
Stockholm,Sweden,HIC,897700,399133,NA,NA,NA,3,71.1,NA,NA,5,21,NA,NA,NA,37.6,4.5,2,18,24.8,10.2,NA,0.2,2.8,NA,NA,NA,NA,NA
Damascus,Syrian Arab Republic,LIC,2566000,1095000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3,2.9,4,22.3,6.6,6.9,NA,NA,NA,NA,NA,NA,NA,NA
Lome,Togo,LIC,956000,311000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,36,NA,NA,NA,26,NA,NA,NA,NA,NA,NA
Bangkok,Thailand,UMC,9270000,4190000,NA,NA,48.7,NA,NA,NA,NA,NA,11.85,39.45,NA,NA,42.72,2.7,1.15,6.41,15.18,25.01,0.83,NA,5.99,NA,NA,NA,NA,NA
DushanbeÂ ,Tajikistan,LIC,679400,257000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khujand,Tajikistan,LIC,144865,51974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,5,55.5,25,10,NA,NA,NA,NA,NA,NA,NA,NA
Ashgabat,Turkmenistan,UMC,746000,164000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,3,34,7,3,1,1,28,NA,NA,NA,NA,NA
Dili,Timor-Leste,LMC,234331,54750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,1,17,18,18,NA,NA,33,25,NA,NA,NA,NA
Tongatapu,Tonga,UMC,69211,10950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,NA,NA,NA,NA,NA
Vavaâ€™u,Tonga,UMC,14936,5515,NA,NA,1.5,27.4,NA,NA,NA,12.3,5.1,NA,53.7,NA,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,NA,NA,NA,NA,NA
Tunis,Tunisia,LMC,700000,220000,NA,NA,NA,NA,NA,NA,4,NA,3,93,NA,NA,46.7,2.48,2.8,17,21.31,10.15,NA,NA,NA,15,NA,NA,NA,NA
Sfax,Tunisia,LMC,300000,77000,NA,NA,NA,NA,NA,NA,NA,NA,2,98,NA,NA,68,2,4,5,10,11,NA,NA,NA,40,NA,NA,NA,NA
Sousse,Tunisia,LMC,170000,70000,NA,NA,NA,63,NA,NA,NA,NA,6,NA,NA,NA,65,3,2,12,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Sakarya Mm,Turkey,UMC,925662,358139,NA,NA,NA,NA,NA,NA,NA,NA,2.49,NA,97.51,NA,40.6,4.4,2.4,24.5,11.8,15.9,NA,NA,0.5,NA,NA,NA,NA,NA
Bursa Mm (Metropolitan Municipality),Turkey,UMC,2764826,1069711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,4.9,0.5,21.3,18.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA
Funafuti,Tuvalu,UMC,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,9.5,9.8,8.5,10.4,9.3,NA,NA,NA,NA,NA,NA,NA,NA
Dar Es Salaam,Tanzania,LIC,4364541,1496500,NA,NA,NA,NA,NA,NA,NA,18,13,28,41,NA,45,2.9,1.7,18.5,4.1,2,1,NA,25.1,40,NA,NA,NA,NA
Moshi,Tanzania,LIC,183520,62050,NA,NA,20,49,NA,NA,NA,NA,NA,NA,31,NA,65,3,2,12,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Kilimanjaro,Tanzania,LIC,210000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,8,3,9,24,NA,NA,NA,NA,NA,NA,NA,NA
Kampala,Uganda,LIC,1936000,840000,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,73.8,0.9,3.1,7.2,5.5,1.6,NA,NA,8,12,NA,NA,NA,NA
Pavlograd,Ukraine,LMC,109885,84600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,10.5,0.6,42.8,11.5,12.6,1.2,0.3,NA,2,NA,NA,NA,NA
Kiev,Ukraine,LMC,2942000,1100000,NA,NA,NA,NA,23,70.6,NA,NA,6.4,NA,NA,NA,35,10,1,36,10,7,NA,1,NA,NA,NA,NA,NA,NA
Montevideo,Uruguay,HIC,1319108,481800,NA,NA,NA,71,NA,NA,NA,NA,29,NA,NA,NA,40.95,5.73,2.06,13.55,19.05,15.87,0.43,NA,2.35,NA,NA,NA,NA,NA
Seattle,United States,HIC,631350,720904,NA,NA,NA,41.95,NA,NA,NA,NA,58.04,NA,NA,NA,53.8,2.3,3.1,8.8,20.3,11.5,NA,NA,NA,NA,NA,NA,NA,NA
Washington Dc,United States,HIC,693972,479930.77,32,NA,1,56,NA,NA,NA,NA,11,NA,NA,NA,83.86,NA,0.1,15.94,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ann Arbor,United States,HIC,307000,200767.81999999998,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namangan,Uzbekistan,LMC,521000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tashkent,Uzbekistan,LMC,2251000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,3.7,3.4,21,18.9,NA,0.8,4.9,8.9,NA,NA,NA,NA,NA
Caracas,"Venezuela, RB",UMC,3220540,1787940,NA,NA,NA,NA,NA,NA,NA,NA,0.9,99.1,NA,NA,50,NA,NA,50,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
Hanoi,Vietnam,LMC,3629000,2390750,NA,NA,2,NA,5.4,10.91,NA,NA,8.2,63.64,10,NA,59.1,2.4,0.9,19.8,5.9,8.6,0.5,NA,2.6,33,NA,NA,NA,NA
Ho Chi Minh City,Vietnam,LMC,7981900,2518500,NA,NA,15,NA,NA,NA,NA,NA,NA,85,NA,NA,69,NA,0.2,10.8,3,16,1.1,1,NA,NA,NA,NA,NA,NA
Port Vila,Vanuatu,LMC,44039,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,7.8,4.6,9.4,6.1,7.9,1.4,NA,NA,23,NA,NA,NA,NA
Upolu (Apia),Samoa,UMC,147184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2.17,8.83,26.22,7.2,13.04,NA,NA,38.7,16.09,NA,NA,NA,NA
Gjilan,Kosovo,LMC,90015,27000,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristina,Kosovo,LMC,210000,130928,NA,NA,NA,80,NA,NA,10,NA,10,NA,NA,NA,40.87,4.45,1.18,24.72,12.83,14.78,NA,1.17,NA,NA,NA,NA,NA,NA
SanaÃ¡,"Yemen, Rep.",LIC,2330689,510420.89,NA,NA,NA,53,NA,NA,NA,NA,12,NA,30,5,65,1,6,6,7,10,1,3,1,17,NA,4471250,NA,NA
JohannesburgÂ ,South Africa,UMC,4434827,1867000,NA,NA,5,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Town,South Africa,UMC,3430000,1251950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,4,14,22,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Soweto,South Africa,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,3,64,9,3,NA,NA,NA,NA,NA,NA,NA,NA
BloemfonteinÂ ,South Africa,UMC,256185,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,67.7,NA,42.6,9.6,4.4,7.5,18.2,17.7,NA,NA,NA,NA,NA,NA,NA,NA
